task,algo,arm,n_seeds,return_mean,return_std,cost_mean,cost_std,cost_rate_mean,cost_rate_std
PointGoal1,PPOLag,Base,3,13.44389533996582,1.385343786304974,49.43733367919922,3.4371735654111593,6.23325001525879,0.06397903808751855
PointGoal1,PPOLag,SR,3,12.21895949045817,0.643705269279612,53.717333475748696,14.971349525045316,6.320116676330566,0.5012755295639431
PointGoal1,TD3Lag,Base,3,4.65224154472351,1.423769821689588,38.94266647338867,10.258326045011495,5.152893025588988,0.230653002404557
PointGoal1,TD3Lag,SR,3,2.2455633958180745,0.2267567236245996,47.716800142923994,24.50969531868723,5.079086808013916,0.256505196729163
PointGoal1,SACLag,Base,3,0.4916396967569987,0.16308896198952544,45.5714670308431,7.828473833664223,4.826896352640787,0.19235885917931878
PointGoal1,SACLag,SR,3,0.3616764278213183,0.10327455615549838,46.49253346761068,7.365846054383294,4.882056982930501,0.3960951526623257
PointButton1,PPOLag,Base,3,6.386818567911784,2.671006625093479,100.21866658528647,15.089066811579286,9.810606686909992,0.6211185587064194
PointButton1,PPOLag,SR,3,5.280626122156779,0.9845230507016569,87.62399902343749,7.620385254751057,8.980909985860189,0.218073666847048
PointButton1,TD3Lag,Base,3,0.047232146169990274,0.06236183743090907,69.5402670288086,13.314678292622517,10.260341722361247,0.16627021671321213
PointButton1,TD3Lag,SR,3,-0.757848220616579,0.9354097584533173,42.82240000406901,8.265760420153471,10.294795821126302,0.30461187167247533
PointButton1,SACLag,Base,3,0.3763374288876851,0.0631092261067032,66.61120005289713,13.541818508681676,5.670999216874441,0.249516269350024
PointButton1,SACLag,SR,3,0.4666260405381521,0.0463845193531579,59.4224001566569,5.00546231255409,5.103422386741638,0.2257946150003791
